year,weight,species_id,record_id
1977,149,DS,483
1978,232,NL,655
1978,232,NL,1029
1979,274,NL,2133
1980,241,NL,2350
1980,241,NL,3087
1981,251,NL,4373
1982,252,NL,5846
1983,256,NL,8427
1984,259,NL,8869
1985,225,NL,11174
1986,240,NL,11329
1987,278,NL,12871
1988,248,NL,15302
1989,275,NL,15459
1990,243,NL,17317
1991,199,SF,18927
1992,220,NL,20040
1993,233,NL,20584
1994,226,NL,21885
1995,171,NL,22899
1996,184,NL,24405
1997,231,NL,26695
1998,238,NL,27762
1999,227,NL,29821
2000,265,NL,30175
2001,280,NL,33049
2002,248,NL,35212
