Month, Day, Year, Hour, Minute, Second, Milliseconds, Sample Time (ms), Acc_X, Acc_Y, Acc_Z, linAcc_X, linAcc_Y, linAcc_Z, gyro_X, gyro_Y, gyro_Y, mag_X, mag_Y, mag_Z, quatI, quatJ, quatK, Lattitude, Longitude
10,4,2023,17,20,47,943,608,-0.266,2.422,9.332,0.453,-1,0.191,0,0,0,30.375,-5.125,-29.312,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,963,20,-0.266,2.422,9.332,0.453,-1,0.191,0,0,0,30.25,-2.812,-29.875,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,983,20,-0.266,2.422,9.332,0.453,-1,0.191,0,0,0,30.625,-2.75,-29.375,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,3,20,-0.266,2.422,9.332,0.008,-0.004,0.008,0,0,0,30.625,-2.75,-29.375,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,23,20,-0.266,2.422,9.332,0.008,-0.004,0.008,0,0,0,30,-2.812,-28.375,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,43,20,-0.266,2.422,9.332,0.008,-0.004,0.008,0,0,0,30,-2.812,-28.375,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,63,20,-0.266,2.422,9.332,0.008,-0.004,0.008,0,0,0,30,-2.812,-28.375,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,83,20,-0.266,2.422,9.332,0.008,-0.004,0.008,0,0,0,30.625,-3.688,-28.312,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,103,20,-0.266,2.422,9.332,0.008,-0.004,0.008,0,0,0,30.625,-3.688,-28.312,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,123,20,-0.266,2.422,9.332,0.008,-0.004,0.008,0,0,0,30.812,-3.625,-30.75,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,143,20,-0.266,2.422,9.332,0.008,-0.004,0.008,0,0,0,30.125,-4.875,-28.312,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,163,20,-0.266,2.422,9.332,0.008,-0.004,0.008,0,0,0,31,-2.75,-29.375,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,183,20,-0.266,2.422,9.332,0.008,-0.004,0.008,0,0,0,30.5,-4.25,-28.875,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,203,20,-0.266,2.422,9.332,0,-0.004,-0.031,0,0,0,30.5,-4.25,-28.875,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,223,20,-0.266,2.422,9.332,0,-0.004,-0.031,0,0,0,30.375,-3.75,-26.375,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,243,20,-0.266,2.422,9.332,0,-0.004,-0.031,0,0,0,30.375,-3.75,-26.375,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,263,20,-0.266,2.422,9.332,0,-0.004,-0.031,0,0,0,30.5,-3.688,-30.312,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,283,20,-0.266,2.422,9.332,0,-0.004,-0.031,0,0,0,30.812,-4.188,-29.312,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,303,20,-0.266,2.422,9.332,0,-0.004,-0.031,0,0,0,30.188,-3.062,-30.875,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,323,20,-0.266,2.422,9.332,0,-0.004,-0.031,0,0,0,30.5,-4.25,-28.875,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,343,20,-0.266,2.422,9.332,0,-0.004,0.008,0,0,0,30.5,-4.25,-28.875,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,363,20,-0.688,0.621,9.641,0,-0.004,0.008,0,0,0,30.5,-4.25,-28.875,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,383,20,-0.688,0.621,9.641,0,-0.004,0.008,0,0,0,30.5,-4.25,-28.875,0.004,0.042,0.723,1000,1000
10,4,2023,17,20,47,403,20,-0.688,0.621,9.641,0,-0.004,0.008,0,0,0,30.25,-3.688,-28.375,0.004,0.042,0.723,1000,1000
