Month, Day, Year, Hour, Minute, Second, Milliseconds, Sample Time (ms), Acc_X, Acc_Y, Acc_Z, linAcc_X, linAcc_Y, linAcc_Z, gyro_X, gyro_Y, gyro_Y, mag_X, mag_Y, mag_Z, quatI, quatJ, quatK, Lattitude, Longitude
10,4,2023,17,21,33,138,655,-31.062,2.461,7.266,-7.859,0.211,-0.012,-0.006,-1.605,-1.104,39,-1,-38.312,0.187,-0.185,0.691,1000,1000
10,4,2023,17,21,33,158,20,-31.062,2.461,7.266,-7.859,0.211,-0.012,-0.436,1.34,0.275,39,-1,-38.312,0.187,-0.185,0.691,1000,1000
10,4,2023,17,21,33,238,20,-31.062,2.461,7.266,-7.859,0.211,-0.012,-0.436,1.34,0.275,39,-1,-38.312,-0.056,0.067,0.76,1000,1000
10,4,2023,17,21,33,258,20,-31.062,2.461,7.266,-7.859,0.211,-0.012,-0.436,1.34,0.275,34.562,-6.25,-29.562,-0.056,0.067,0.76,1000,1000
10,4,2023,17,21,33,278,20,-31.062,2.461,7.266,-7.859,0.211,-0.012,-0.436,1.34,0.275,34.562,-6.25,-29.562,0.133,-0.137,0.723,1000,1000
10,4,2023,17,21,33,298,20,-32.594,1.695,6.844,-7.859,0.211,-0.012,-0.436,1.34,0.275,34.562,-6.25,-29.562,0.133,-0.137,0.723,1000,1000
10,4,2023,17,21,33,318,20,-35.195,2.117,7.379,-7.859,0.211,-0.012,-0.436,1.34,0.275,34.562,-6.25,-29.562,0.133,-0.137,0.723,1000,1000
10,4,2023,17,21,33,418,20,-35.195,2.117,7.379,-7.859,0.211,-0.012,-0.436,1.34,0.275,34.562,-6.25,-29.562,0.097,-0.148,0.712,1000,1000
10,4,2023,17,21,33,438,20,-35.195,2.117,7.379,-18.324,3.387,-0.961,-0.436,1.34,0.275,34.562,-6.25,-29.562,0.097,-0.148,0.712,1000,1000
10,4,2023,17,21,33,458,20,-35.195,2.117,7.379,7.797,-0.414,2.121,-0.436,1.34,0.275,34.562,-6.25,-29.562,0.097,-0.148,0.712,1000,1000
10,4,2023,17,21,33,478,20,10.191,-4.012,12.242,7.797,-0.414,2.121,-0.436,1.34,0.275,34.562,-6.25,-29.562,0.097,-0.148,0.712,1000,1000
10,4,2023,17,21,33,498,20,10.191,-4.012,12.242,7.797,-0.414,2.121,-0.436,1.34,0.275,34.188,-3.938,-28.688,0.097,-0.148,0.712,1000,1000
10,4,2023,17,21,33,518,20,30.387,-5.891,12.629,7.797,-0.414,2.121,-0.436,1.34,0.275,34.188,-3.938,-28.688,0.097,-0.148,0.712,1000,1000
10,4,2023,17,21,33,538,20,30.387,-5.891,12.629,30.344,-4.973,-0.852,-0.436,1.34,0.275,34.188,-3.938,-28.688,0.097,-0.148,0.712,1000,1000
10,4,2023,17,21,33,558,20,30.387,-5.891,12.629,30.344,-4.973,-0.852,-0.436,1.34,0.275,33.5,-5.812,-26.75,0.097,-0.148,0.712,1000,1000
10,4,2023,17,21,34,618,20,30.387,-5.891,12.629,20.184,-2.691,-1.082,-0.436,1.34,0.275,33.5,-5.812,-26.75,0.097,-0.148,0.712,1000,1000
10,4,2023,17,21,34,638,20,30.387,-5.891,12.629,20.184,-2.691,-1.082,0.098,-0.621,-1.551,33.5,-5.812,-26.75,0.097,-0.148,0.712,1000,1000
10,4,2023,17,21,34,658,20,30.387,-5.891,12.629,-3.098,-2.676,0.395,0.098,-0.621,-1.551,33.5,-5.812,-26.75,0.097,-0.148,0.712,1000,1000
10,4,2023,17,21,34,678,20,-15.047,-0.258,6.727,-3.098,-2.676,0.395,0.098,-0.621,-1.551,33.5,-5.812,-26.75,0.097,-0.148,0.712,1000,1000
10,4,2023,17,21,34,698,20,-22.133,0.164,7.035,-3.098,-2.676,0.395,0.098,-0.621,-1.551,33.5,-5.812,-26.75,0.097,-0.148,0.712,1000,1000
10,4,2023,17,21,34,718,20,-30.105,1.617,7.57,-3.098,-2.676,0.395,0.098,-0.621,-1.551,33.5,-5.812,-26.75,0.097,-0.148,0.712,1000,1000
10,4,2023,17,21,34,738,20,-30.105,1.617,7.57,-3.098,-2.676,0.395,0.098,-0.621,-1.551,33.5,-5.812,-26.75,0.112,-0.126,0.712,1000,1000
10,4,2023,17,21,34,758,20,-28.113,0.699,8.301,-3.098,-2.676,0.395,0.098,-0.621,-1.551,33.5,-5.812,-26.75,0.112,-0.126,0.712,1000,1000
10,4,2023,17,21,34,778,20,-28.113,0.699,8.301,-3.098,-2.676,0.395,-0.346,0.312,1.449,33.5,-5.812,-26.75,0.112,-0.126,0.712,1000,1000
10,4,2023,17,21,34,798,20,-28.113,0.699,8.301,-3.098,-2.676,0.395,-0.371,1.506,2.004,33.5,-5.812,-26.75,0.112,-0.126,0.712,1000,1000
10,4,2023,17,21,34,818,20,-28.113,0.699,8.301,-3.098,-2.676,0.395,-0.492,1.287,2.18,33.5,-5.812,-26.75,0.112,-0.126,0.712,1000,1000
10,4,2023,17,21,34,838,20,-28.113,0.699,8.301,2.062,-2.824,2,-0.492,1.287,2.18,33.5,-5.812,-26.75,0.112,-0.126,0.712,1000,1000
10,4,2023,17,21,34,858,20,-28.113,0.699,8.301,2.062,-2.824,2,-0.143,0.084,1.396,33.5,-5.812,-26.75,0.112,-0.126,0.712,1000,1000
10,4,2023,17,21,34,878,20,-28.113,0.699,8.301,2.062,-2.824,2,-0.143,0.084,1.396,33.5,-5.812,-26.75,-0.22,0.179,0.794,1000,1000
10,4,2023,17,21,34,898,20,23.328,-1.715,12.359,2.062,-2.824,2,-0.143,0.084,1.396,33.5,-5.812,-26.75,-0.22,0.179,0.794,1000,1000
10,4,2023,17,21,34,918,20,23.328,-1.715,12.359,2.062,-2.824,2,-0.143,0.084,1.396,33.5,-5.812,-26.75,-0.229,0.182,0.793,1000,1000
10,4,2023,17,21,34,938,20,23.328,-1.715,12.359,2.062,-2.824,2,0.199,0.131,-0.877,33.5,-5.812,-26.75,-0.229,0.182,0.793,1000,1000
