Month, Day, Year, Hour, Minute, Second, Milliseconds, Sample Time (ms), Acc_X, Acc_Y, Acc_Z, linAcc_X, linAcc_Y, linAcc_Z, gyro_X, gyro_Y, gyro_Y, mag_X, mag_Y, mag_Z, quatI, quatJ, quatK, Lattitude, Longitude
10,4,2023,17,22,20,972,663,-0.727,0.316,9.719,-0.562,0.082,0.109,0,0,0,24.312,-11.25,-40.625,-0.016,0.023,0.801,1000,1000
10,4,2023,17,22,20,992,20,-0.727,0.316,9.719,-0.195,0.168,-0.051,0,0,0,24.312,-11.25,-40.625,-0.016,0.023,0.801,1000,1000
10,4,2023,17,22,20,12,20,-0.727,0.316,9.719,-0.195,0.168,-0.051,0,0,0,24.312,-11.25,-40.625,-0.019,0.026,0.816,1000,1000
10,4,2023,17,22,20,32,20,-0.766,0.316,9.68,-0.195,0.168,-0.051,0,0,0,24.312,-11.25,-40.625,-0.019,0.026,0.816,1000,1000
10,4,2023,17,22,20,52,20,-0.766,0.316,9.68,-0.195,0.168,-0.051,0,0,0,24.312,-11.25,-40.625,-0.019,0.026,0.816,1000,1000
10,4,2023,17,22,20,72,20,-0.766,0.316,9.68,-0.195,0.168,-0.051,-0.002,0,-0.002,24.312,-11.25,-40.625,-0.019,0.026,0.816,1000,1000
10,4,2023,17,22,20,92,20,-0.766,0.316,9.68,-0.195,0.168,-0.051,-0.002,0,0.002,24.312,-11.25,-40.625,-0.019,0.026,0.816,1000,1000
10,4,2023,17,22,20,112,20,-0.766,0.316,9.68,-0.195,0.168,-0.051,-0.002,0,0.002,24.312,-11.25,-40.625,-0.019,0.026,0.816,1000,1000
10,4,2023,17,22,20,132,20,-0.766,0.316,9.68,-0.195,0.168,-0.051,-0.002,0,0.002,23.688,-12.062,-40.562,-0.019,0.026,0.816,1000,1000
10,4,2023,17,22,20,152,20,-0.766,0.316,9.68,-0.195,0.168,-0.051,-0.002,0,0.002,23.688,-12.062,-40.562,-0.019,0.026,0.816,1000,1000
10,4,2023,17,22,20,172,20,-0.766,0.316,9.68,-0.195,0.168,-0.051,-0.004,-0.002,0,23.688,-12.062,-40.562,-0.019,0.026,0.816,1000,1000
10,4,2023,17,22,20,192,20,-0.766,0.316,9.68,-0.195,0.168,-0.051,-0.002,0.002,0,23.688,-12.062,-40.562,-0.019,0.026,0.816,1000,1000
