Month, Day, Year, Hour, Minute, Second, Milliseconds, Sample Time (ms), Acc_X, Acc_Y, Acc_Z, linAcc_X, linAcc_Y, linAcc_Z, gyro_X, gyro_Y, gyro_Y, mag_X, mag_Y, mag_Z, quatI, quatJ, quatK, Lattitude, Longitude
10,4,2023,17,23,50,582,650,-0.672,0.051,9.691,-0.008,0.035,-0.004,0,0,0,17.625,-9.875,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,602,20,-0.672,0.051,9.691,0.031,-0.004,-0.043,0,0,0,17.625,-9.875,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,622,20,-0.672,0.051,9.691,-0.039,0.035,-0.043,0,0,0,17.625,-9.875,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,642,20,-0.672,0.051,9.691,0,-0.004,-0.004,0,0,0,17.625,-9.875,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,662,20,-0.672,0.051,9.691,0,0.035,-0.004,0,0,0,17.625,-9.875,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,682,20,-0.672,0.051,9.691,0,-0.004,0.035,0,0,0,17.625,-9.875,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,702,20,-0.672,0.051,9.691,0,-0.004,0.035,0,0,0,17.562,-11.688,-35.438,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,722,20,-0.672,0.051,9.691,0,-0.043,0.035,0,0,0,17.562,-11.688,-35.438,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,742,20,-0.672,0.051,9.691,0,-0.043,0.035,0,0,0,16.5,-11.688,-34.562,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,762,20,-0.672,0.051,9.691,0,-0.004,-0.004,0,0,0,16.5,-11.688,-34.562,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,782,20,-0.672,0.051,9.691,0,-0.004,-0.004,0,0,0,16.5,-11.688,-34.562,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,802,20,-0.672,0.051,9.691,0,0.035,0.035,0,0,0,16.5,-11.688,-34.562,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,822,20,-0.672,0.051,9.691,0,-0.004,0.035,0,0,0,16.5,-11.688,-34.562,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,842,20,-0.672,0.051,9.691,0,-0.004,0.035,0,0,0,16.875,-11.688,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,862,20,-0.672,0.051,9.691,0,-0.043,-0.004,0,0,0,16.875,-11.688,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,882,20,-0.672,0.051,9.691,0,-0.043,-0.004,0,0,0,17.938,-10.25,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,902,20,-0.672,0.051,9.691,0,-0.004,-0.004,0,0,0,17.938,-10.25,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,922,20,-0.672,0.051,9.691,0,-0.004,0.035,0,0,0,17.938,-10.25,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,942,20,-0.672,0.051,9.691,-0.039,-0.004,0.035,0,0,0,17.938,-10.25,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,962,20,-0.672,0.051,9.691,0,0.035,-0.004,0,0,0,17.938,-10.25,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,982,20,-0.672,0.051,9.691,0,-0.043,-0.004,0,0,0,17.938,-10.25,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,2,20,-0.672,0.051,9.691,0,0.035,-0.004,0,0,0,17.938,-10.25,-35.375,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,22,20,-0.672,0.051,9.691,0,0.035,-0.004,0,0,0,16.5,-10.938,-35.75,-0.031,0.02,0.903,1000,1000
10,4,2023,17,23,51,42,20,-0.672,0.051,9.691,0,0.035,-0.004,0,0,0,16.5,-10.938,-35.75,-0.031,0.02,0.902,1000,1000
10,4,2023,17,23,51,62,20,-0.672,0.051,9.691,0,0.035,-0.004,0,0,0,16.125,-10.25,-35.75,-0.031,0.02,0.902,1000,1000
10,4,2023,17,23,51,82,20,-0.672,0.051,9.691,0,-0.004,-0.004,0,0,0,16.125,-10.25,-35.75,-0.031,0.02,0.902,1000,1000
