Month, Day, Year, Hour, Minute, Second, Milliseconds, Sample Time (ms), Acc_X, Acc_Y, Acc_Z, linAcc_X, linAcc_Y, linAcc_Z, gyro_X, gyro_Y, gyro_Y, mag_X, mag_Y, mag_Z, quatI, quatJ, quatK, Lattitude, Longitude
10,4,2023,17,24,36,143,647,-0.633,0.32,9.691,-0.008,-0.023,0.004,0.002,0,0,20.5,-11.312,-38,-0.018,0.032,0.85,1000,1000
10,4,2023,17,24,36,163,20,-0.633,0.32,9.691,-0.008,-0.023,0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.85,1000,1000
10,4,2023,17,24,36,183,20,-0.633,0.32,9.691,-0.008,-0.023,0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.85,1000,1000
10,4,2023,17,24,36,203,20,-0.633,0.355,9.73,-0.008,-0.023,0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.85,1000,1000
10,4,2023,17,24,36,223,20,-0.633,0.355,9.73,0,0.012,0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.85,1000,1000
10,4,2023,17,24,36,243,20,-0.633,0.395,9.688,0,0.012,0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.85,1000,1000
10,4,2023,17,24,36,263,20,-0.633,0.395,9.688,0,0.012,0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,283,20,-0.633,0.395,9.688,0,0.012,0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,303,20,-0.633,0.395,9.688,0,0.012,0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,323,20,-0.633,0.395,9.688,0,0.012,0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,343,20,-0.633,0.395,9.688,0,0.012,0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,363,20,-0.633,0.395,9.688,0,0.012,0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,383,20,-0.633,0.395,9.688,0,-0.102,0.035,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,403,20,-0.633,0.395,9.688,0.039,0.09,-0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,423,20,-0.633,0.395,9.688,-0.086,0.012,0.035,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,443,20,-0.633,0.395,9.688,0.066,0.051,-0.043,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,463,20,-0.633,0.395,9.688,0.066,0.051,-0.043,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,483,20,-0.633,0.395,9.688,-0.008,0.051,-0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,503,20,-0.633,0.395,9.688,-0.008,0.051,-0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,523,20,-0.633,0.395,9.688,-0.008,-0.062,-0.004,0,0,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,543,20,-0.633,0.395,9.688,-0.008,-0.062,-0.004,-0.002,0.002,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,563,20,-0.633,0.395,9.688,0.023,-0.141,-0.004,-0.002,0.002,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,36,583,20,-0.633,0.395,9.688,0.023,-0.141,-0.004,-0.002,0.002,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
10,4,2023,17,24,37,603,20,-0.633,0.395,9.688,0.023,-0.102,0.043,-0.002,0.002,0,20.5,-11.312,-38,-0.018,0.032,0.851,1000,1000
