Month, Day, Year, Hour, Minute, Second, Ms, Sample Time (ms), Acc_X, Acc_Y, Acc_Z, linAcc_X, linAcc_Y, linAcc_Z, gyro_X, gyro_Y, gyro_Y, mag_X, mag_Y, mag_Z, quatI, quatJ, quatK, Lattitude, Longitude
9,15,2023,19,19,13,429,20,-1.031,-0.527,9.988,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
9,15,2023,19,19,13,492,20,-2.219,-0.488,9.645,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
9,15,2023,19,19,13,532,20,-2.371,-0.988,9.715,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
9,15,2023,19,19,13,572,20,-2.754,-0.797,10.066,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
9,15,2023,19,19,13,592,20,-2.488,-0.527,9.027,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
9,15,2023,19,19,13,612,20,-2.488,-0.527,9.027,1000,1000,1000,1000,1000,1000,1000,1000,1000,-0.053,0.098,0.118,1000,1000
9,15,2023,19,19,13,632,20,-2.332,-1.371,8.527,1000,1000,1000,1000,1000,1000,1000,1000,1000,-0.053,0.098,0.118,1000,1000
9,15,2023,19,19,13,652,20,-2.332,-1.371,8.527,-0.711,-0.82,-1.23,1000,1000,1000,1000,1000,1000,-0.053,0.098,0.118,1000,1000
9,15,2023,19,19,14,672,20,-1.797,-1.371,9.523,-0.711,-0.82,-1.23,1000,1000,1000,1000,1000,1000,-0.053,0.098,0.118,1000,1000
9,15,2023,19,19,14,692,20,-1.684,-0.91,9.645,-0.711,-0.82,-1.23,1000,1000,1000,1000,1000,1000,-0.053,0.098,0.118,1000,1000
9,15,2023,19,19,14,712,20,-1.684,-0.797,9.68,-0.711,-0.82,-1.23,1000,1000,1000,1000,1000,1000,-0.053,0.098,0.118,1000,1000
9,15,2023,19,19,14,732,20,-1.684,-0.797,9.68,-0.711,-0.82,-1.23,1000,1000,1000,1000,1000,1000,-0.055,0.102,0.107,1000,1000
9,15,2023,19,19,14,752,20,-1.91,-0.949,9.328,-0.711,-0.82,-1.23,1000,1000,1000,1000,1000,1000,-0.055,0.102,0.107,1000,1000
9,15,2023,19,19,14,772,20,-1.91,-0.949,9.328,-0.711,-0.82,-1.23,1000,1000,1000,12.375,25.438,-29.125,-0.055,0.102,0.107,1000,1000
9,15,2023,19,19,14,792,20,-1.91,-0.949,9.328,0.305,-0.5,-0.148,1000,1000,1000,12.375,25.438,-29.125,-0.055,0.102,0.107,1000,1000
9,15,2023,19,19,14,812,20,-0.074,-1.637,9.562,0.305,-0.5,-0.148,1000,1000,1000,12.375,25.438,-29.125,-0.055,0.102,0.107,1000,1000
9,15,2023,19,19,14,832,20,-0.074,-1.637,9.562,2.238,-0.828,-0.203,1000,1000,1000,12.375,25.438,-29.125,-0.055,0.102,0.107,1000,1000
9,15,2023,19,19,14,852,20,-1.605,-1.637,10.289,2.238,-0.828,-0.203,1000,1000,1000,12.375,25.438,-29.125,-0.055,0.102,0.107,1000,1000
9,15,2023,19,19,14,872,20,-1.605,-1.637,10.289,2.238,-0.828,-0.203,1000,1000,1000,12.375,25.438,-29.125,-0.057,0.125,0.123,1000,1000
9,15,2023,19,19,14,892,20,-11.066,-0.488,12.203,2.238,-0.828,-0.203,1000,1000,1000,12.375,25.438,-29.125,-0.057,0.125,0.123,1000,1000
9,15,2023,19,19,14,912,20,-11.066,-0.488,12.203,-6.371,1.047,-2.105,1000,1000,1000,12.375,25.438,-29.125,-0.057,0.125,0.123,1000,1000
9,15,2023,19,19,14,932,20,-11.066,-0.488,12.203,-6.371,1.047,-2.105,1000,1000,1000,12.375,25.438,-29.125,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,952,20,-11.066,-0.488,12.203,-5.027,3.074,-6.016,1000,1000,1000,12.375,25.438,-29.125,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,972,20,-11.066,-0.488,12.203,-3.996,0.328,-4.742,1000,1000,1000,12.375,25.438,-29.125,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,992,20,1,-1.676,4.473,-3.996,0.328,-4.742,1000,1000,1000,12.375,25.438,-29.125,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,12,20,4.328,-1.793,3.434,-3.996,0.328,-4.742,1000,1000,1000,12.375,25.438,-29.125,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,32,20,4.328,-1.793,3.434,5.875,-0.285,-5.605,1000,1000,1000,12.375,25.438,-29.125,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,52,20,4.328,-1.793,3.434,5.875,-0.285,-5.605,1000,1000,1000,-16,30.812,-24.562,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,72,20,4.328,-1.793,3.434,4.172,-0.465,-0.492,1000,1000,1000,-16,30.812,-24.562,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,92,20,4.328,-1.793,3.434,4.172,-0.465,-0.492,1000,1000,1000,-24.438,29.062,-24.312,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,112,20,4.328,-1.793,3.434,2.605,-0.047,3.238,1000,1000,1000,-24.438,29.062,-24.312,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,132,20,4.328,-1.793,3.434,2.566,-1.43,3.914,1000,1000,1000,-24.438,29.062,-24.312,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,152,20,4.328,-1.793,3.434,3.133,-3.258,3.289,1000,1000,1000,-24.438,29.062,-24.312,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,172,20,7.207,-4.012,11.637,3.133,-3.258,3.289,1000,1000,1000,-24.438,29.062,-24.312,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,192,20,7.207,-4.012,11.637,1.082,-3.484,0.793,1000,1000,1000,-24.438,29.062,-24.312,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,212,20,0.922,-2.441,11.48,1.082,-3.484,0.793,1000,1000,1000,-24.438,29.062,-24.312,-0.081,0.114,0.121,1000,1000
9,15,2023,19,19,14,232,20,0.922,-2.441,11.48,1.082,-3.484,0.793,1000,1000,1000,-24.438,29.062,-24.312,0.009,-0.051,0.062,1000,1000
9,15,2023,19,19,14,252,20,-0.188,0.66,10.328,1.082,-3.484,0.793,1000,1000,1000,-24.438,29.062,-24.312,0.009,-0.051,0.062,1000,1000
9,15,2023,19,19,14,272,20,-0.188,0.66,10.328,1.082,-3.484,0.793,1000,1000,1000,-24.438,29.062,-24.312,0.06,0.036,0.093,1000,1000
9,15,2023,19,19,14,292,20,-0.188,0.66,10.328,1.082,-3.484,0.793,1000,1000,1000,9.375,18.438,-37.688,0.06,0.036,0.093,1000,1000
9,15,2023,19,19,14,312,20,-2.449,4.531,8.457,1.082,-3.484,0.793,1000,1000,1000,9.375,18.438,-37.688,0.06,0.036,0.093,1000,1000
9,15,2023,19,19,14,332,20,-2.449,4.531,8.457,1.082,-3.484,0.793,0.996,4.141,0.66,9.375,18.438,-37.688,0.06,0.036,0.093,1000,1000
9,15,2023,19,19,14,352,20,-3.137,5.68,6.805,1.082,-3.484,0.793,0.996,4.141,0.66,9.375,18.438,-37.688,0.06,0.036,0.093,1000,1000
9,15,2023,19,19,14,372,20,-3.137,5.68,6.805,0.297,1.734,-1.926,0.996,4.141,0.66,9.375,18.438,-37.688,0.06,0.036,0.093,1000,1000
9,15,2023,19,19,14,392,20,-3.137,5.68,6.805,0.297,1.734,-1.926,0.996,4.141,0.66,29.062,17.312,-31.375,0.06,0.036,0.093,1000,1000
9,15,2023,19,19,14,412,20,-3.137,5.68,6.805,-1.379,-1.555,-2.66,0.996,4.141,0.66,29.062,17.312,-31.375,0.06,0.036,0.093,1000,1000
9,15,2023,19,19,14,432,20,-3.137,5.68,6.805,-1.379,-1.555,-2.66,0.996,4.141,0.66,31.562,17.125,-31.188,0.06,0.036,0.093,1000,1000
9,15,2023,19,19,14,452,20,-3.137,5.68,6.805,-1.379,-1.555,-2.66,0.201,-2.062,-0.916,31.562,17.125,-31.188,0.06,0.036,0.093,1000,1000
9,15,2023,19,19,14,472,20,-4.707,-0.758,6.887,-1.379,-1.555,-2.66,0.201,-2.062,-0.916,31.562,17.125,-31.188,0.06,0.036,0.093,1000,1000
9,15,2023,19,19,14,492,20,-4.707,-0.758,6.887,-1.379,-1.555,-2.66,0.201,-2.062,-0.916,27.438,20.438,-35.062,0.06,0.036,0.093,1000,1000
9,15,2023,19,19,14,512,20,-4.707,-0.758,6.887,1.508,-0.172,-2.457,0.201,-2.062,-0.916,27.438,20.438,-35.062,0.06,0.036,0.093,1000,1000
9,15,2023,19,19,14,532,20,-4.707,-0.758,6.887,1.508,-0.172,-2.457,0.201,-2.062,-0.916,20.562,20.188,-37.125,0.06,0.036,0.093,1000,1000
9,15,2023,19,19,14,552,20,-4.707,-0.758,6.887,1.508,-0.172,-2.457,0.201,-2.062,-0.916,20.562,20.188,-37.125,0.124,0.126,0.109,1000,1000
