genus,species,reference_no,subfamily,Tribe,Genus,Fossil,min_ma,max_ma,Notes
Agroecomyrmex,duisburgi,44414,Agroecomyrmecinae,None,Agroecomyrmex,Yes,33.9,38,Note
Eulithomyrmex,rugosus,4971,Agroecomyrmecinae,None,Eulithomyrmex,Yes,33.9,37.2,Note
Eulithomyrmex,striatus,4971,Agroecomyrmecinae,None,Eulithomyrmex,Yes,33.9,37.2,Note
Ambyloponinae,NA,59088,Ambyloponinae,None,None,Yes,20.44,23.03,Note
Amblyoponini,NA,53165,Ambyloponinae,Amblyoponini,Amblyoponini,Yes,20.44,23.03,Note
Casaleia,eocenica,43781,Ambyloponinae,None,Casaleia,Yes,40.4,48.6,Note
Casaleia,inversa,41286,Ambyloponinae,None,Casaleia,Yes,5.333,15.97,Note
Casaleia,longiventris,37344,Ambyloponinae,None,Casaleia,Yes,11.608,12.7,Note
Casaleia,orientalis,56094,Ambyloponinae,None,Casaleia,Yes,33.9,38,Note
Myopopone,sinensis,16579,Ambyloponinae,None,Myopopone,Yes,11.608,15.97,Note
Stigmatomma,electrina,44602,Ambyloponinae,None,Stigmatomma,Yes,33.9,38,Note
Stigmatomma,groehni,44602,Ambyloponinae,None,Stigmatomma,Yes,33.9,38,Note
Aneuretellus,deformis,44404,Aneuretinae,None,Aneuretellus,Yes,41.3,47.8,Note
Britaneuretus,anglicus,37729,Aneuretinae,None,Britaneuretus,Yes,33.9,38,Note
Burmomyrma,rossi,39313,Aneuretinae,None,Burmomyrma,Yes,93.5,99.6,Note
Cananeuretus,occidentalis,36535,Aneuretinae,None,Cananeuretus,Yes,70.6,83.5,Note
Mianeuretus,NA,44418,Aneuretinae,None,Mianeuretus,Yes,46.2,50.3,Note
Mianeuretus,eocenicus,44418,Aneuretinae,None,Mianeuretus,Yes,46.2,50.3,Note
Mianeuretus,mirabilis,4971,Aneuretinae,None,Mianeuretus,Yes,33.9,37.2,Note
Paraneuretus,dubovikoffi,56094,Aneuretinae,None,Paraneuretus,Yes,33.9,38,Note
Paraneuretus,longicornis,40999,Aneuretinae,None,Paraneuretus,Yes,33.9,38,Note
Paraneuretus,tornquisti,40999,Aneuretinae,None,Paraneuretus,Yes,33.9,38,Note
Pityomyrmex,tornquisti,40999,Aneuretinae,None,Pityomyrmex,Yes,33.9,38,Note
Protaneuretus,succineus,40999,Aneuretinae,None,Protaneuretus,Yes,33.9,38,Note
Archaeopone,kzylzharica,37059,Armaniinae,None,Archaeopone,Yes,89.8,93.9,Note
Archaeopone,taylori,35238,Armaniinae,None,Archaeopone,Yes,70.6,83.5,Note
Armania,NA,39728,Armaniinae,None,Armania,Yes,89.8,93.9,Note
Armania,capitata,39728,Armaniinae,None,Armania,Yes,89.8,93.9,Note
Armania,curiosa,35238,Armaniinae,None,Armania,Yes,70.6,83.5,Note
Armania,pristina,39728,Armaniinae,None,Armania,Yes,89.8,93.9,Note
Armania,robusta,35238,Armaniinae,None,Armania,Yes,70.6,83.5,Stem Ant?
Dolichomyrma,latipes,37059,Armaniinae,None,Dolichomyrma,Yes,89.8,93.9,Note
Dolichomyrma,longiceps,37059,Armaniinae,None,Dolichomyrma,Yes,89.8,93.9,Note
Khetania,mandibulata,39728,Armaniinae,None,Khetania,Yes,89.8,93.9,Note
Orapia,minor,38353,Armaniinae,None,Orapia,Yes,89.8,93.9,Note
Orapia,rayneri,38353,Armaniinae,None,Orapia,Yes,89.8,93.9,Note
Poneropterus,sphecoides,35238,Armaniinae,None,Poneropterus,Yes,70.6,83.5,Note
Pseudarmania,aberrans,35238,Armaniinae,None,Pseudarmania,Yes,70.6,83.5,Stem Ant?
Pseudarmania,rasnitsyni,35238,Armaniinae,None,Pseudarmania,Yes,70.6,83.5,Stem Ant?
Brownimecia,clavata,5815,Brownimeciinae,NA,Brownimecia,Yes,89.8,93.9,Note
Alloiomma,changweiensis,16579,Dolichoderinae,None,Alloiomma,Yes,11.608,15.97,Note
Alloiomma,differentialis,36942,Dolichoderinae,None,Alloiomma,Yes,11.608,15.97,Note
Asymphylomyrmex,balticus,40999,Dolichoderinae,None,Asymphylomyrmex,Yes,33.9,38,Note
Azteca,NA,49381,Dolichoderinae,NA,Azteca,Yes,15.97,23.03,Note
Azteca,alpha,5207,Dolichoderinae,NA,Azteca,Yes,13.82,20.44,Note
Azteca,eumeces,5207,Dolichoderinae,NA,Azteca,Yes,13.82,20.44,Note
Chronomyrmex,medicinehatensis,47972,Dolichoderinae,None,Chronomyrmex,Yes,70.6,83.5,Note
Ctenobethylus,goepperti,38999,Dolichoderinae,None,Ctenobethylus,Yes,28.4,33.9,Note
Dolichoderinae,NA,34859,Dolichoderinae,None,None,Yes,5.333,7.246,Note
Dolichoderus,NA,8673,Dolichoderinae,None,Dolichoderus,Yes,5.333,55.8,Note
Dolichoderus,(Hypoclinea),44557,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,affectus,38999,Dolichoderinae,None,Dolichoderus,Yes,28.4,33.9,Note
Dolichoderus,antiquus,4971,Dolichoderinae,None,Dolichoderus,Yes,33.9,37.2,Note
Dolichoderus,balticus,38999,Dolichoderinae,None,Dolichoderus,Yes,23.03,28.1,Note
Dolichoderus,brevicornis,44557,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,brevipalpis,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,brevipennis,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,bruneti,38999,Dolichoderinae,None,Dolichoderus,Yes,28.4,33.9,Note
Dolichoderus,caribbaeus,5207,Dolichoderinae,None,Dolichoderus,Yes,13.82,20.44,Note
Dolichoderus,coquandi,38999,Dolichoderinae,None,Dolichoderus,Yes,28.4,33.9,Note
Dolichoderus,cornutus,44414,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,dibolius,5207,Dolichoderinae,None,Dolichoderus,Yes,13.82,20.44,Note
Dolichoderus,dlusskyi,55770,Dolichoderinae,None,Dolichoderus,Yes,41.3,47.8,Note
Dolichoderus,elegans,40999,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,evolans,16579,Dolichoderinae,None,Dolichoderus,Yes,11.608,15.97,Note
Dolichoderus,explicans,38738,Dolichoderinae,None,Dolichoderus,Yes,28.4,33.9,Note
Dolichoderus,granulinotus,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,heeri,51760,Dolichoderinae,None,Dolichoderus,Yes,11.608,12.7,Note
Dolichoderus,jiaoyanshanensis,16579,Dolichoderinae,None,Dolichoderus,Yes,11.608,15.97,Note
Dolichoderus,kohlsi,44418,Dolichoderinae,None,Dolichoderus,Yes,46.2,50.3,Note
Dolichoderus,kutscheri,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,kutschlinicus,44564,Dolichoderinae,None,Dolichoderus,Yes,33.9,37.2,Note
Dolichoderus,lacinius,16579,Dolichoderinae,None,Dolichoderus,Yes,11.608,15.97,Note
Dolichoderus,longipennis,44414,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,longipilosus,44557,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,lucidus,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,luridivenosus,36942,Dolichoderinae,None,Dolichoderus,Yes,11.608,15.97,Note
Dolichoderus,mesosternalis,40999,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,nanus,44557,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,obliteratus,39765,Dolichoderinae,None,Dolichoderus,Yes,23.03,33.9,Note
Dolichoderus,oviformis,38999,Dolichoderinae,None,Dolichoderus,Yes,33.9,37.2,Note
Dolichoderus,passalomma,40999,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,perkovskyi,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,pilipes,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,pinguis,56094,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,polessus,44557,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,polonicus,44557,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,primitivus,5207,Dolichoderinae,None,Dolichoderus,Yes,13.82,20.44,Note
Dolichoderus,prolaminatus,5207,Dolichoderinae,None,Dolichoderus,Yes,13.82,20.44,Note
Dolichoderus,punctatus,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,robustus,44557,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,rohweri,4971,Dolichoderinae,None,Dolichoderus,Yes,33.9,37.2,Note
Dolichoderus,sculpturatus,44414,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,tauricus,41286,Dolichoderinae,None,Dolichoderus,Yes,13.82,15.97,Note
Dolichoderus,tertiarius,44414,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus,transversipetiolaris,36942,Dolichoderinae,None,Dolichoderus,Yes,11.608,15.97,Note
Dolichoderus,vectensis,5061,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
