Month, Day, Year, Hour, Minute, Second, Milliseconds, Sample Time (ms), Acc_X, Acc_Y, Acc_Z, linAcc_X, linAcc_Y, linAcc_Z, gyro_X, gyro_Y, gyro_Y, mag_X, mag_Y, mag_Z, quatI, quatJ, quatK, Lattitude, Longitude,temp,behavior
9,27,2023,12,6,50,919,20,2.531,-0.488,9.41,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,80.1,FLOAT
9,27,2023,12,6,50,983,20,2.453,0.125,10.062,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,80.1,FLOAT
9,27,2023,12,6,50,23,20,2.188,-0.105,10.754,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,80.1,FLOAT
9,27,2023,12,6,50,63,20,1.996,-1.062,11.363,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,80.1,FLOAT
9,27,2023,12,6,50,83,20,2.34,-1.18,11.137,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,80.1,FLOAT
9,27,2023,12,6,50,103,20,2.34,-1.18,11.137,1000,1000,1000,1000,1000,1000,1000,1000,1000,-0.128,0.003,-0.992,1000,1000,80.1,FLOAT
9,27,2023,12,6,50,123,20,2.684,-0.949,9.949,1000,1000,1000,1000,1000,1000,1000,1000,1000,-0.128,0.003,-0.992,1000,1000,80.1,FLOAT
9,27,2023,12,6,50,143,20,2.875,-1.141,9.711,1000,1000,1000,1000,1000,1000,1000,1000,1000,-0.128,0.003,-0.992,1000,1000,80.1,FLOAT
9,27,2023,12,6,50,163,20,2.875,-1.141,9.711,1000,1000,1000,1000,1000,1000,-10,-27,-33.25,-0.128,0.003,-0.992,1000,1000,80.1,FLOAT
9,27,2023,12,6,50,183,20,2.875,-1.141,9.711,1000,1000,1000,1000,1000,1000,-10,-27,-33.25,-0.135,0.005,-0.991,1000,1000,80.2,FLOAT
9,27,2023,12,6,51,203,20,2.453,0.355,9.75,1000,1000,1000,1000,1000,1000,-10,-27,-33.25,-0.135,0.005,-0.991,1000,1000,80.2,FLOAT
9,27,2023,12,6,51,223,20,2.453,0.355,9.75,0.148,0.113,0.59,1000,1000,1000,-10,-27,-33.25,-0.135,0.005,-0.991,1000,1000,80.2,FLOAT
9,27,2023,12,6,51,243,20,2.453,0.355,9.75,0.148,0.113,0.59,1000,1000,1000,-10.375,-25.562,-33.625,-0.135,0.005,-0.991,1000,1000,80.2,FLOAT
9,27,2023,12,6,51,263,20,2.453,0.355,9.75,0.148,0.113,0.59,1000,1000,1000,-9.625,-25.562,-35.812,-0.135,0.005,-0.991,1000,1000,80.2,FLOAT
9,27,2023,12,6,51,283,20,2.453,0.355,9.75,0.973,1.027,-1.977,1000,1000,1000,-9.625,-25.562,-35.812,-0.135,0.005,-0.991,1000,1000,80.2,FLOAT
